#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2454 2.6063E-04 2.6063E-04  -1.80   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 169  0.781086  3.7655  3.6789  0.6670  4.3719  3.4601  3.0843  2.9627  2.9294
 170  0.781327  3.7624  3.6580  0.6757  4.3699  3.4483  3.0624  2.9360  2.8991
 171  0.781563  3.7596  3.6382  0.6847  4.3653  3.4342  3.0396  2.9090  2.8689
 172  0.781791  3.7572  3.6189  0.6942  4.3587  3.4183  3.0158  2.8813  2.8384
 173  0.782009  3.7549  3.6000  0.7042  4.3503  3.4009  2.9910  2.8530  2.8073
 174  0.782217  3.7528  3.5813  0.7145  4.3403  3.3821  2.9652  2.8240  2.7758
 175  0.782414  3.7508  3.5628  0.7252  4.3284  3.3618  2.9386  2.7944  2.7438
 176  0.782602  3.7491  3.5448  0.7363  4.3147  3.3401  2.9112  2.7643  2.7117
 177  0.782782  3.7476  3.5275  0.7476  4.2992  3.3172  2.8832  2.7338  2.6794
 178  0.782955  3.7461  3.5104  0.7592  4.2820  3.2932  2.8546  2.7030  2.6469
 179  0.783121  3.7448  3.4938  0.7709  4.2640  3.2687  2.8256  2.6718  2.6143
 180  0.783282  3.7437  3.4775  0.7827  4.2451  3.2436  2.7960  2.6403  2.5813
 181  0.783439  3.7427  3.4615  0.7946  4.2252  3.2180  2.7663  2.6087  2.5483
 182  0.783610  3.7417  3.4439  0.8081  4.2019  3.1886  2.7328  2.5733  2.5116
 183  0.783779  3.7407  3.4265  0.8218  4.1771  3.1582  2.6987  2.5374  2.4746
 184  0.783947  3.7398  3.4090  0.8358  4.1511  3.1270  2.6640  2.5012  2.4371
 185  0.784114  3.7390  3.3918  0.8499  4.1240  3.0949  2.6289  2.4645  2.3995
 186  0.784281  3.7383  3.3746  0.8642  4.0960  3.0623  2.5934  2.4278  2.3617
 187  0.784447  3.7375  3.3574  0.8786  4.0671  3.0291  2.5577  2.3908  2.3239
 188  0.784611  3.7368  3.3403  0.8931  4.0374  2.9953  2.5216  2.3537  2.2859
 189  0.784775  3.7363  3.3233  0.9078  4.0072  2.9611  2.4853  2.3164  2.2479
