#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2451 6.6505E-05 6.6505E-05  -2.45   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=13.500 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 180  0.773470  3.7520  3.4613  0.8263  4.0196  3.1192  2.7077  2.5618  2.5082
 181  0.773601  3.7506  3.4453  0.8369  4.0037  3.0976  2.6810  2.5326  2.4773
 182  0.773739  3.7492  3.4284  0.8486  3.9852  3.0733  2.6517  2.5009  2.4438
 183  0.773876  3.7480  3.4115  0.8606  3.9652  3.0479  2.6218  2.4687  2.4100
 184  0.774011  3.7469  3.3948  0.8728  3.9434  3.0214  2.5913  2.4364  2.3762
 185  0.774144  3.7459  3.3782  0.8853  3.9204  2.9939  2.5604  2.4037  2.3423
 186  0.774277  3.7449  3.3618  0.8978  3.8964  2.9657  2.5292  2.3709  2.3083
 187  0.774408  3.7440  3.3456  0.9105  3.8717  2.9370  2.4975  2.3379  2.2742
 188  0.774538  3.7431  3.3295  0.9235  3.8460  2.9078  2.4657  2.3047  2.2399
 189  0.774669  3.7423  3.3136  0.9364  3.8198  2.8780  2.4336  2.2714  2.2057
 190  0.774798  3.7416  3.2977  0.9495  3.7931  2.8479  2.4013  2.2380  2.1714
 191  0.774926  3.7409  3.2820  0.9625  3.7658  2.8175  2.3688  2.2044  2.1371
 192  0.775055  3.7404  3.2663  0.9757  3.7382  2.7869  2.3362  2.1709  2.1026
 193  0.775183  3.7397  3.2507  0.9889  3.7103  2.7559  2.3034  2.1372  2.0683
 194  0.775310  3.7392  3.2352  1.0021  3.6820  2.7247  2.2706  2.1035  2.0339
 195  0.775438  3.7386  3.2198  1.0154  3.6535  2.6934  2.2376  2.0696  1.9994
 196  0.775564  3.7381  3.2044  1.0287  3.6247  2.6618  2.2045  2.0358  1.9649
 197  0.775691  3.7376  3.1891  1.0421  3.5957  2.6301  2.1714  2.0019  1.9303
 198  0.775818  3.7371  3.1739  1.0555  3.5666  2.5984  2.1383  1.9682  1.8960
 199  0.775945  3.7366  3.1588  1.0688  3.5374  2.5665  2.1052  1.9344  1.8617
 200  0.776071  3.7361  3.1436  1.0822  3.5079  2.5346  2.0720  1.9004  1.8272
 201  0.776197  3.7357  3.1285  1.0956  3.4782  2.5023  2.0386  1.8664  1.7926
 202  0.776321  3.7353  3.1132  1.1093  3.4481  2.4697  2.0047  1.8318  1.7576
 203  0.776445  3.7348  3.0978  1.1231  3.4176  2.4368  1.9706  1.7972  1.7223
 204  0.776567  3.7344  3.0823  1.1370  3.3869  2.4034  1.9361  1.7620  1.6868
 205  0.776690  3.7340  3.0670  1.1507  3.3561  2.3702  1.9018  1.7272  1.6514
 206  0.776811  3.7336  3.0515  1.1647  3.3250  2.3366  1.8671  1.6920  1.6156
 207  0.776931  3.7333  3.0358  1.1790  3.2933  2.3025  1.8318  1.6561  1.5793
 208  0.777047  3.7329  3.0197  1.1935  3.2610  2.2676  1.7958  1.6194  1.5421
 209  0.777161  3.7325  3.0034  1.2082  3.2282  2.2322  1.7592  1.5823  1.5045
 210  0.777270  3.7320  2.9864  1.2233  3.1951  2.1960  1.7216  1.5439  1.4655
 211  0.777377  3.7315  2.9692  1.2388  3.1614  2.1591  1.6833  1.5049  1.4259
 212  0.777481  3.7311  2.9517  1.2545  3.1270  2.1217  1.6444  1.4652  1.3856
 213  0.777581  3.7305  2.9337  1.2703  3.0928  2.0840  1.6049  1.4248  1.3447
 214  0.777678  3.7300  2.9156  1.2865  3.0575  2.0455  1.5649  1.3840  1.3031
 215  0.777774  3.7295  2.8975  1.3028  3.0219  2.0064  1.5243  1.3427  1.2612
 216  0.777866  3.7290  2.8788  1.3193  2.9864  1.9673  1.4833  1.3007  1.2187
 217  0.777888  3.7288  2.8744  1.3232  2.9781  1.9581  1.4737  1.2909  1.2086
 218  0.777908  3.7287  2.8700  1.3271  2.9698  1.9489  1.4639  1.2810  1.1985
 219  0.777929  3.7286  2.8655  1.3310  2.9614  1.9396  1.4542  1.2710  1.1883
 220  0.777950  3.7284  2.8611  1.3350  2.9528  1.9302  1.4443  1.2610  1.1781
 221  0.777971  3.7283  2.8567  1.3390  2.9441  1.9206  1.4345  1.2510  1.1680
 222  0.777991  3.7282  2.8523  1.3430  2.9354  1.9112  1.4247  1.2409  1.1578
 223  0.778012  3.7281  2.8480  1.3469  2.9267  1.9016  1.4147  1.2308  1.1476
 224  0.778033  3.7280  2.8434  1.3509  2.9181  1.8921  1.4047  1.2206  1.1372
 225  0.778053  3.7279  2.8388  1.3550  2.9095  1.8826  1.3948  1.2104  1.1268
